frame.time_epoch,tcp.analysis.ack_rtt
"1684649483.929868490",
"1684649483.929874487",
"1684649483.929879525",
"1684649483.933148479",
"1684649483.936389413",
"1684649483.937892647","0.015059898"
"1684649483.952891528","0.026811869"
"1684649483.956167815","0.003276287"
"1684649483.972766516","0.036377103"
"1684649484.072862379",
"1684649484.076201219","0.003338840"
"1684649484.082085285",
"1684649484.082097796",
"1684649484.082103053",
"1684649484.085397166","0.003311881"
"1684649484.085399919","0.003302123"
"1684649484.085401213","0.003298160"
"1684649484.113894502",
"1684649484.113901096",
"1684649484.113901533",
"1684649484.113905480",
"1684649484.113907088",
"1684649484.113909824",
"1684649484.113910297",
"1684649484.113912536",
"1684649484.113912875",
"1684649484.117125477",
"1684649484.152869080","0.038963600"
"1684649484.152881457","0.038968921"
"1684649484.152889129","0.035763652"
"1684649484.152892899",
"1684649484.156201250",
"1684649484.156202458",
"1684649484.156202880",
"1684649484.156203626",
"1684649484.156207277",
"1684649484.156207639",
"1684649484.156208041",
"1684649484.156208393",
"1684649484.156208736",
"1684649484.156214213",
"1684649484.159432049",
"1684649484.192873750","0.036670124"
"1684649484.192886714","0.036678321"
"1684649484.192892184","0.033460135"
"1684649484.196189001","0.043296102"
"1684649484.196193716",
"1684649484.196194121",
"1684649484.212850728","0.016656607"
"1684649484.212860343",
"1684649484.216158911","0.003298568"
"1684649484.316900820",
"1684649484.316906477",
"1684649484.316906846",
"1684649484.316909631",
"1684649484.316909991",
"1684649484.316911873",
"1684649484.316912141",
"1684649484.316914047",
"1684649484.316914394",
"1684649484.316927229",
"1684649484.316927531",
"1684649484.320139612",
"1684649484.352834619","0.035920572"
"1684649484.352848057","0.032708445"
"1684649484.354830836",
"1684649484.358107426",
"1684649484.358108637",
"1684649484.358109053",
"1684649484.358109398",
"1684649484.358109801",
"1684649484.358110204",
"1684649484.358110525",
"1684649484.358110888",
"1684649484.358125699",
"1684649484.358126109",
"1684649484.358126429",
"1684649484.358126734",
"1684649484.392748207","0.034639154"
"1684649484.392761941","0.034636242"
"1684649484.392766706","0.034640277"
"1684649484.396058723",
"1684649484.412853214","0.016794491"
"1684649484.412862833",
"1684649484.416145733","0.003282900"
"1684649484.702022090",
"1684649484.702042070",
"1684649484.702048276",
"1684649484.702053124",
"1684649484.705314131","0.003272061"
"1684649484.705318727","0.003265603"
"1684649484.708581225","0.006532949"
"1684649484.708582407",
"1684649484.708588983",
"1684649484.708589377",
"1684649484.708589836",
"1684649484.708590572",
"1684649484.708590861",
"1684649484.708591141",
"1684649484.708591465",
